Epoch: 3761; match = 368
Epoch: 3771; match = 368
Epoch: 3781; match = 368
Epoch: 3791; match = 368
Epoch: 3801; match = 368
Epoch: 3811; match = 368
Epoch: 3821; match = 368
Epoch: 3831; match = 368
Epoch: 3841; match = 368
Epoch: 3851; match = 368
Epoch: 3861; match = 368
Epoch: 3871; match = 368
Epoch: 3881; match = 368
Epoch: 3891; match = 368
Epoch: 3901; match = 368
Epoch: 3911; match = 368
Epoch: 3921; match = 368
Epoch: 3931; match = 368
Epoch: 3941; match = 368
Epoch: 3951; match = 368
Epoch: 3961; match = 368
Epoch: 3971; match = 368
Epoch: 3981; match = 368
Epoch: 3991; match = 368
Epoch: 4001; match = 368
Epoch: 4011; match = 368
Epoch: 4021; match = 368
Epoch: 4031; match = 368
Epoch: 4041; match = 368
Epoch: 4051; match = 368
Epoch: 4061; match = 368
Epoch: 4071; match = 368
Epoch: 4081; match = 368
Epoch: 4091; match = 368
Epoch: 4101; match = 368
Epoch: 4111; match = 368
Epoch: 4121; match = 368
Epoch: 4131; match = 368
Epoch: 4141; match = 368
Epoch: 4151; match = 368
Epoch: 4161; match = 368
Epoch: 4171; match = 368
Epoch: 4181; match = 368
Epoch: 4191; match = 368
Epoch: 4201; match = 368
Epoch: 4211; match = 368
Epoch: 4221; match = 368
Epoch: 4231; match = 368
Epoch: 4241; match = 368
Epoch: 4251; match = 368
Epoch: 4261; match = 368
Epoch: 4271; match = 368
Epoch: 4281; match = 368
Epoch: 4291; match = 368
Epoch: 4301; match = 368
Epoch: 4311; match = 368
Epoch: 4321; match = 368
Epoch: 4331; match = 368
Epoch: 4341; match = 368
Epoch: 4351; match = 368
Epoch: 4361; match = 368
Epoch: 4371; match = 368
Epoch: 4381; match = 368
Epoch: 4391; match = 368
Epoch: 4401; match = 368
Epoch: 4411; match = 368
Epoch: 4421; match = 368
Epoch: 4431; match = 368
Epoch: 4441; match = 368
Epoch: 4451; match = 368
Epoch: 4461; match = 368
Epoch: 4471; match = 368
Epoch: 4481; match = 368
Epoch: 4491; match = 368
Epoch: 4501; match = 368
Epoch: 4511; match = 368
Epoch: 4521; match = 368
Epoch: 4531; match = 368
Epoch: 4541; match = 368
Epoch: 4551; match = 368
Epoch: 4561; match = 368
Epoch: 4571; match = 368
Epoch: 4581; match = 368
Epoch: 4591; match = 368
Epoch: 4601; match = 368
Epoch: 4611; match = 368
Epoch: 4621; match = 368
Epoch: 4631; match = 368
Epoch: 4641; match = 368
Epoch: 4651; match = 368
Epoch: 4661; match = 368
Epoch: 4671; match = 368
Epoch: 4681; match = 368
Epoch: 4691; match = 368
Epoch: 4701; match = 368
Epoch: 4711; match = 368
Epoch: 4721; match = 368
Epoch: 4731; match = 368
Epoch: 4741; match = 368
Epoch: 4751; match = 368
Epoch: 4761; match = 368
Epoch: 4771; match = 368
Epoch: 4781; match = 368
Epoch: 4791; match = 368
Epoch: 4801; match = 368
Epoch: 4811; match = 368
Epoch: 4821; match = 368
Epoch: 4831; match = 368
Epoch: 4841; match = 368
Epoch: 4851; match = 368
Epoch: 4861; match = 368
Epoch: 4871; match = 368
Epoch: 4881; match = 368
Epoch: 4891; match = 368
Epoch: 4901; match = 368
Epoch: 4911; match = 368
Epoch: 4921; match = 368
Epoch: 4931; match = 368
Epoch: 4941; match = 368
Epoch: 4951; match = 368
Epoch: 4961; match = 368
Epoch: 4971; match = 368
Epoch: 4981; match = 368
Epoch: 4991; match = 368
Epoch: 5001; match = 368
Epoch: 5011; match = 368
Epoch: 5021; match = 368
Epoch: 5031; match = 368
Epoch: 5041; match = 368
Epoch: 5051; match = 368
